locus_tag	gene_name	old_locus_tag	prokka_locus_tag	synonyms	start	end	strand	gene_product	gene_product_prokka	COG	uniprot	refseq
SACI_RS05670	Saci_1189	Saci_1189	Sacid_01167		1008791.0	1009651.0	-	FAD-binding oxidoreductase	hypothetical protein	Energy production and conversion	A0A0U3GIY7	NC_007181.1
SACI_RS05675	purE	Saci_1190	Sacid_01168		1009743.0	1010216.0	+	5-(carboxyamino)imidazole ribonucleotide mutase	N5-carboxyaminoimidazole ribonucleotide mutase	Nucleotide transport and metabolism	A0A0U2WYV1	NC_007181.1
SACI_RS05680	purK	Saci_1191	Sacid_01169		1010188.0	1011282.0	+	5-(carboxyamino)imidazole ribonucleotide synthase	N5-carboxyaminoimidazole ribonucleotide synthase	Nucleotide transport and metabolism	A0A0U2Y6W8	NC_007181.1
SACI_RS05685	Saci_1192	Saci_1192	Sacid_01170		1011279.0	1011623.0	+	HTH DNA-binding domain-containing protein	hypothetical protein	Transcription	A0A0U3GUC5	NC_007181.1
SACI_RS05690	arnC	Saci_1193	Sacid_01171	pknD_1	1011620.0	1013611.0	-	protein kinase	Serine/threonine-protein kinase PknD	Transcription	A0A0U3H8R5	NC_007181.1
SACI_RS05695	yabJ	Saci_1195	Sacid_01173		1013973.0	1014350.0	-	RidA family protein	2-iminobutanoate/2-iminopropanoate deaminase	"Translation, ribosomal structure and biogenesis"	UPI0000552520	NC_007181.1
SACI_RS05700	IMPDH_5	Saci_1196	Sacid_01174		1014391.0	1015209.0	-	CBS domain-containing protein	Inosine-5'-monophosphate dehydrogenase	Function unknown	A0A0U2VTP7	NC_007181.1
SACI_RS05705	Saci_1197	Saci_1197	Sacid_01175		1015233.0	1017029.0	-	glycogen debranching enzyme N-terminal domain-containing protein	hypothetical protein	Carbohydrate transport and metabolism	UPI0002B26E9E	NC_007181.1
SACI_RS05710	Saci_1198	Saci_1198	Sacid_01176		1017238.0	1019091.0	-	glycoside hydrolase family 15 protein	hypothetical protein	Carbohydrate transport and metabolism	A0A0U3FLS4	NC_007181.1
SACI_RS05715	cugP_2	Saci_1199	Sacid_01177		1019088.0	1020341.0	-	NDP-sugar synthase	UTP--glucose-1-phosphate uridylyltransferase	Cell wall/membrane/envelope biogenesis	A0A0U3FDQ4	NC_007181.1
SACI_RS05720	Saci_1200	Saci_1200	Sacid_01178		1020382.0	1021716.0	+	alpha-amylase	hypothetical protein	Carbohydrate transport and metabolism	A0A0U3GRH7	NC_007181.1
SACI_RS05725	glgA_1	Saci_1201	Sacid_01179		1021713.0	1023413.0	+	glycogen/starch synthase	Glycogen synthase	Cell wall/membrane/envelope biogenesis	F2Z6E6	NC_007181.1
SACI_RS05730	msrP	Saci_1202	Sacid_01180		1023450.0	1024052.0	+	sulfite oxidase-like oxidoreductase	Protein-methionine-sulfoxide reductase catalytic subunit MsrP	Function unknown	A0A0U3H9K7	NC_007181.1
SACI_RS05735	thsY	Saci_1203	Sacid_01181	groL_2	1024057.0	1025676.0	-	thermosome subunit gamma (TCP-1/cpn60 chaperonin family)	60 kDa chaperonin	"Post-translational modification, protein turnover,and chaperones"	A0A0U3H1H5	NC_007181.1
SACI_RS05740	Saci_1205	Saci_1205	Sacid_01182		1025769.0	1026086.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3HCR6	NC_007181.1
SACI_RS05745	Saci_1206	Saci_1206	Sacid_01183		1026145.0	1026750.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3FE34	NC_007181.1
SACI_RS05750	Saci_1207	Saci_1207	Sacid_01184		1026823.0	1027203.0	-	CBS domain-containing protein	hypothetical protein	Lipid transport and metabolism	A0A0U3F648	NC_007181.1
SACI_RS05755	Saci_1208	Saci_1208	Sacid_01185		1027214.0	1027921.0	-	DsbA family protein	hypothetical protein	"Secondary metabolites biosynthesis, transport, and catabolism"	UPI000055252B	NC_007181.1
SACI_RS05760	Saci_1209	Saci_1209	Sacid_01186		1027923.0	1029005.0	-	VWA domain-containing protein	hypothetical protein	Signal transduction mechanisms	A0A0U2Y6V3	NC_007181.1
SACI_RS05765	arnA	Saci_1210	Sacid_01187		1029065.0	1029685.0	+	FHA domain-containing protein	hypothetical protein	Signal transduction mechanisms	A0A0U3H8R9	NC_007181.1
SACI_RS05770	arnB	Saci_1211	Sacid_01188		1029690.0	1030832.0	+	VWA domain-containing protein	hypothetical protein	Signal transduction mechanisms	A0A0U3GUB2	NC_007181.1
SACI_RS05775	Saci_1212	Saci_1212	Sacid_01189		1030846.0	1031010.0	-	AbrB/MazE/SpoVT family DNA-binding domain-containing protein	hypothetical protein	Transcription	UPI000055252F	NC_007181.1
SACI_RS05780	Saci_1213	Saci_1213	Sacid_01190		1031062.0	1032318.0	-	DUF402 domain-containing protein	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U2VTN3	NC_007181.1
SACI_RS05785	acnA	Saci_1214	Sacid_01191		1032302.0	1034848.0	-	aconitate hydratase AcnA	Aconitate hydratase A	Energy production and conversion	A0A0U3HK42	NC_007181.1
SACI_RS05790	Saci_1215	Saci_1215	Sacid_01192		1034900.0	1036189.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3FME2	NC_007181.1
SACI_RS05795	Saci_1216	Saci_1216	Sacid_01193		1036276.0	1036800.0	+	DUF2258 domain-containing protein	hypothetical protein	Function unknown	A0A0U2WR78	NC_007181.1
SACI_RS05800	Saci_1217	Saci_1217	Sacid_01194		1036824.0	1037123.0	-	hypothetical protein	hypothetical protein	Function unknown	A0A0U3GRG5	NC_007181.1
SACI_RS05805	Saci_1218	Saci_1218	Sacid_01195		1037393.0	1037770.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3H0X8	NC_007181.1
SACI_RS05810	Saci_1219	Saci_1219	Sacid_01196		1037782.0	1038165.0	-	MarR family transcriptional regulator	hypothetical protein	Transcription	A0A0U3H117	NC_007181.1
SACI_RS05815	btuF_1	Saci_1220	Sacid_01197		1038318.0	1039313.0	+	ABC transporter substrate-binding protein	Vitamin B12-binding protein	Inorganic ion transport and metabolism	A0A0U3H1G2	NC_007181.1
SACI_RS05820	Saci_1221	Saci_1221	Sacid_01198		1039531.0	1040529.0	+	iron ABC transporter permease	putative ABC transporter permease protein	Inorganic ion transport and metabolism	A0A0U3GLY8	NC_007181.1
SACI_RS05825	btuD_7	Saci_1222	Sacid_01199		1040510.0	1041169.0	+	ABC transporter ATP-binding protein	Vitamin B12 import ATP-binding protein BtuD	Amino acid transport and metabolism	A0A0U3HCP3	NC_007181.1
SACI_RS05830	abfR2	Saci_1223	Sacid_01200		1041456.0	1041827.0	+	Lrs14 family biofilm regulator AbfR2	hypothetical protein	Transcription	A0A0U3FE21	NC_007181.1
SACI_RS05835	Saci_1224	Saci_1224	Sacid_01201		1041824.0	1042045.0	-	hypothetical protein	hypothetical protein	Transcription	A0A0U3GP41	NC_007181.1
SACI_RS05840	Saci_1225	Saci_1225	Sacid_01202		1042172.0	1042501.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3F641	NC_007181.1
SACI_RS05845	Saci_1226	Saci_1226	Sacid_01203		1042482.0	1043012.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3GIW3	NC_007181.1
SACI_RS05850	phrA	Saci_1227	Sacid_01204		1043234.0	1044526.0	+	deoxyribodipyrimidine photo-lyase	Deoxyribodipyrimidine photo-lyase	"Replication, recombination and repair"	A0A0U3H8Q2	NC_007181.1
SACI_RS05855	Saci_1228	Saci_1228	Sacid_01205		1044560.0	1045915.0	-	"P-loop ATPase superfamily protein, possible HrpA-like helicase"	hypothetical protein	No COG annotation	A0A0U3H1W8	NC_007181.1
SACI_RS05860	Saci_1229	Saci_1229	Sacid_01206		1045922.0	1046425.0	-	GntR family transcriptional regulator	hypothetical protein	No COG annotation	A0A0U3GU98	NC_007181.1
SACI_RS05865	tenA	Saci_1230	Sacid_01207		1046719.0	1047375.0	-	thiaminase II	Aminopyrimidine aminohydrolase	Transcription	A0A0U3GEI7	NC_007181.1
SACI_RS05870	Saci_1231	Saci_1231	Sacid_01208		1047426.0	1049072.0	-	hypothetical protein	hypothetical protein	Function unknown	A0A0U3HK31	NC_007181.1
SACI_RS05875	Saci_1232	Saci_1232	Sacid_01209		1049193.0	1049960.0	-	glucose 1-dehydrogenase	3-beta-hydroxycholanate 3-dehydrogenase (NAD(+)) 2	Lipid transport and metabolism	A0A0U3FMD0	NC_007181.1
SACI_RS05880	Saci_1233	Saci_1233	Sacid_01210		1050009.0	1050542.0	-	DUF488 domain-containing protein	hypothetical protein	Transcription	A0A0U2WR66	NC_007181.1
SACI_RS05885	Saci_1234	Saci_1234	Sacid_01211		1050711.0	1051121.0	-	cupin domain-containing protein	Oxalate-binding protein	Carbohydrate transport and metabolism	A0A0U3GRE5	NC_007181.1
SACI_RS05890	Saci_1235	Saci_1235	Sacid_01212		1052045.0	1052290.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3GSJ3	NC_007181.1
SACI_RS05895	Saci_1236	Saci_1236	Sacid_01213		1052274.0	1052666.0	+	PIN domain-containing protein	hypothetical protein	Function unknown	A0A0U3H105	NC_007181.1
SACI_RS05900	Saci_1237	Saci_1237	Sacid_01214		1053492.0	1053824.0	+	hypothetical protein	hypothetical protein	No COG annotation	M1I4Y2	NC_007181.1
SACI_RS05905	Saci_1238	Saci_1238	Sacid_01215		1053870.0	1054493.0	-	trimeric intracellular cation channel family protein	hypothetical protein	Function unknown	A0A0U3H1E6	NC_007181.1
SACI_RS05910	Saci_1239	Saci_1239	Sacid_01216		1054659.0	1055411.0	+	tetratricopeptide repeat protein	hypothetical protein	Signal transduction mechanisms	A0A0U3GLX3	NC_007181.1
SACI_RS05915	thi4_3	Saci_1240	Sacid_01217		1055391.0	1056674.0	-	NAD(P)/FAD-dependent oxidoreductase	Thiamine thiazole synthase	"Secondary metabolites biosynthesis, transport, and catabolism"	A0A0U2W2F1	NC_007181.1
SACI_RS05920	Saci_1241	Saci_1241	Sacid_01218		1056679.0	1057101.0	-	PaaI family thioesterase	hypothetical protein	"Secondary metabolites biosynthesis, transport, and catabolism"	A0A0U3FVG6	NC_007181.1
SACI_RS05925	Saci_1242	Saci_1242	Sacid_01219		1057460.0	1057792.0	+	MarR family transcriptional regulator	hypothetical protein	Transcription	A0A0U3HCQ6	NC_007181.1
SACI_RS05930	Saci_1243	Saci_1243	Sacid_01220		1057796.0	1058398.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3FE02	NC_007181.1
SACI_RS05935	Saci_1244	Saci_1244	Sacid_01221		1058408.0	1059379.0	+	GHMP kinase	hypothetical protein	Lipid transport and metabolism	A0A0U3F620	NC_007181.1
SACI_RS05940	mvaD	Saci_1245	Sacid_01222		1059369.0	1060346.0	+	diphosphomevalonate decarboxylase	hypothetical protein	Lipid transport and metabolism	A0A0U3H8P2	NC_007181.1
SACI_RS05945	Saci_1246	Saci_1246	Sacid_01223		1060333.0	1061529.0	-	HD domain-containing protein	Deoxyguanosinetriphosphate triphosphohydrolase-like protein	Function unknown	A0A0U3GJL3	NC_007181.1
SACI_RS05950	deoD	Saci_1247	Sacid_01224		1061544.0	1062254.0	-	purine-nucleoside phosphorylase	Purine nucleoside phosphorylase DeoD-type	Nucleotide transport and metabolism	A0A0U3FTV8	NC_007181.1
SACI_RS05955	Saci_1248	Saci_1248	Sacid_01225		1062400.0	1062597.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3GU82	NC_007181.1
SACI_RS05960	mshA_1	Saci_1249	Sacid_01226		1062587.0	1063921.0	-	glycosyltransferase family 4 protein	D-inositol-3-phosphate glycosyltransferase	Cell wall/membrane/envelope biogenesis	A0A0U3GEH8	NC_007181.1
SACI_RS05965	Saci_1250	Saci_1250	Sacid_01227		1063958.0	1065688.0	+	glycoside hydrolase family 15 protein	Trehalase	Carbohydrate transport and metabolism	A0A0U2VTJ8	NC_007181.1
SACI_RS05970	Saci_1251	Saci_1251	Sacid_01228		1065709.0	1066101.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3FMC3	NC_007181.1
SACI_RS05975	Saci_1252	Saci_1252	Sacid_01229		1066194.0	1066739.0	+	ADP-ribose-binding protein	putative protein	Function unknown	A0A0U2WR46	NC_007181.1
SACI_RS05980	Saci_1253	Saci_1253	Sacid_01230		1066756.0	1067550.0	+	MBL fold metallo-hydrolase	hypothetical protein	Function unknown	A0A0U3GSH5	NC_007181.1
SACI_RS05985	Saci_1254	Saci_1254	Sacid_01231		1067595.0	1068164.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3H0U7	NC_007181.1
SACI_RS05990	Saci_1255	Saci_1255	Sacid_01232		1068374.0	1068949.0	+	NAD(P)H-dependent oxidoreductase	NAD(P)H-dependent FMN reductase	Function unknown	A0A0U3H1E1	NC_007181.1
SACI_RS05995	Saci_1256	Saci_1256	Sacid_01233		1069002.0	1070189.0	-	MFS transporter	hypothetical protein	Carbohydrate transport and metabolism	A0A0U3FL65	NC_007181.1
SACI_RS06000	Saci_1257	Saci_1257	Sacid_01234		1070415.0	1070813.0	+	acyl-CoA thioesterase	Putative esterase	Function unknown	A0A0U3FYF0	NC_007181.1
SACI_RS06010	SACI_RS06010		Sacid_01236		1071231.0	1071434.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U2N8L9	NC_007181.1
SACI_RS06015	hddC	Saci_1259	Sacid_01237		1071421.0	1072116.0	-	nucleotidyltransferase family protein	D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase	Cell wall/membrane/envelope biogenesis	A0A0U3HCJ2	NC_007181.1
SACI_RS06020	ogt	Saci_1260	Sacid_01238		1072375.0	1072842.0	-	methylated-DNA--[protein]-cysteine S-methyltransferase	Methylated-DNA--protein-cysteine methyltransferase	"Replication, recombination and repair"	A0A0U3FDY3	NC_007181.1
SACI_RS06025	Saci_1261	Saci_1261	Sacid_01239		1072839.0	1074488.0	-	threonine--tRNA ligase	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3GJX9	NC_007181.1
SACI_RS06030	murG	Saci_1262	Sacid_01240		1074526.0	1075509.0	+	polysaccharide biosynthesis protein	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	Cell wall/membrane/envelope biogenesis	A0A0U3F610	NC_007181.1
SACI_RS06035	nth_1	Saci_1264	Sacid_01241		1075509.0	1076225.0	+	DNA endonuclease III	Endonuclease III	"Replication, recombination and repair"	A0A0U3GIT9	NC_007181.1
SACI_RS06040	sucC	Saci_1265	Sacid_01242		1076212.0	1077225.0	+	succinate--CoA ligase subunit beta	Succinate--CoA ligase [GDP-forming] subunit beta	Energy production and conversion	A0A0U3GJJ6	NC_007181.1
SACI_RS06045	sucD	Saci_1266	Sacid_01243		1077222.0	1078061.0	+	succinate--CoA ligase subunit alpha	Succinate--CoA ligase [ADP-forming] subunit alpha	Energy production and conversion	UPI0009B5AE77	NC_007181.1
SACI_RS06050	Saci_1267	Saci_1267	Sacid_01244		1078027.0	1079067.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U2NDR8	NC_007181.1
SACI_RS06060	Saci_1269	Saci_1269	Sacid_01246		1079374.0	1079973.0	-	carbonic anhydrase	hypothetical protein	Inorganic ion transport and metabolism	A0A0U3HP85	NC_007181.1
SACI_RS06065	Saci_1270	Saci_1270	Sacid_01247		1080419.0	1081312.0	+	MFS family permease	hypothetical protein	Amino acid transport and metabolism	A0A0U3HJZ7	NC_007181.1
SACI_RS06070	Saci_1271	Saci_1271	Sacid_01248		1081580.0	1082233.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3FLK4	NC_007181.1
SACI_RS06075	Saci_1272	Saci_1272	Sacid_01249		1082226.0	1083023.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3FT84	NC_007181.1
SACI_RS11850	SACI_RS11850				1083276.0	1083470.0	+	hypothetical protein		Function unknown		NC_007181.1
SACI_RS06085	Saci_1274	Saci_1274	Sacid_01251		1083596.0	1085860.0	+	"uncharacterized membrane protein required for N-linked glycosylation, peptide transporter"	hypothetical protein	Cell wall/membrane/envelope biogenesis	A0A0U3FDJ4	NC_007181.1
SACI_RS11640	SACI_RS11640				1085849.0	1086019.0	-	RNA-protein complex protein Nop10		"Translation, ribosomal structure and biogenesis"	UPI0001D5AB29	NC_007181.1
SACI_RS06090	Saci_1275	Saci_1275	Sacid_01252		1086016.0	1086807.0	-	translation initiation factor IF-2 subunit alpha	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3GRC0	NC_007181.1
SACI_RS06095	Saci_1276	Saci_1276	Sacid_01253		1086809.0	1087009.0	-	30S ribosomal protein S27e	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3FMB7	NC_007181.1
SACI_RS06100	Saci_1277	Saci_1277	Sacid_01254		1087006.0	1087293.0	-	50S ribosomal protein L44e	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U2WR31	NC_007181.1
SACI_RS06105	Saci_1278	Saci_1278	Sacid_01255		1087280.0	1087741.0	-	hypothetical protein	hypothetical protein	Energy production and conversion	A0A0U2XZ09	NC_007181.1
SACI_RS06110	priS	Saci_1279	Sacid_01256		1087731.0	1088699.0	-	DNA primase small subunit PriS	hypothetical protein	"Replication, recombination and repair"	A0A0U3H0T1	NC_007181.1
SACI_RS06115	Saci_1280	Saci_1280	Sacid_01257		1088665.0	1089402.0	-	DNA polymerase sliding clamp	hypothetical protein	"Replication, recombination and repair"	A0A0U3H0X7	NC_007181.1
SACI_RS06120	Saci_1281	Saci_1281	Sacid_01258		1089433.0	1090248.0	-	ATP/GTP-binding protein	hypothetical protein	Function unknown	UPI0002B284F9	NC_007181.1
SACI_RS06125	prs	Saci_1282	Sacid_01259		1090238.0	1091113.0	+	ribose-phosphate diphosphokinase	Ribose-phosphate pyrophosphokinase	Nucleotide transport and metabolism	A0A0U3FL47	NC_007181.1
SACI_RS06130	Saci_1283	Saci_1283	Sacid_01260		1091110.0	1092015.0	+	RNA methyltransferase	hypothetical protein	"Replication, recombination and repair"	A0A0U2WYL2	NC_007181.1
SACI_RS06135	rbn_2	Saci_1284	Sacid_01261	rnz	1092015.0	1092893.0	+	ribonuclease Z	Ribonuclease BN	"Translation, ribosomal structure and biogenesis"	A0A0U3HCI0	NC_007181.1
SACI_RS06140	Saci_1285	Saci_1285	Sacid_01262		1092874.0	1093311.0	-	hypothetical protein	hypothetical protein	Function unknown	A0A0U3FDX3	NC_007181.1
SACI_RS06145	Saci_1286	Saci_1286	Sacid_01263		1093311.0	1093811.0	-	AAA family ATPase	hypothetical protein	Nucleotide transport and metabolism	A0A0U3F5Y9	NC_007181.1
SACI_RS06150	thpR	Saci_1287	Sacid_01264		1093875.0	1094462.0	+	"RNA 2',3'-cyclic phosphodiesterase"	"RNA 2',3'-cyclic phosphodiesterase"	"Translation, ribosomal structure and biogenesis"	A0A0U3FTT1	NC_007181.1
SACI_RS06155	Saci_1288	Saci_1288	Sacid_01265		1094422.0	1095672.0	+	CCA tRNA nucleotidyltransferase	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U2NDQ8	NC_007181.1
SACI_RS06160	Saci_1289	Saci_1289	Sacid_01266		1095657.0	1096265.0	+	serine/threonine protein kinase	hypothetical protein	Signal transduction mechanisms	Q4J999	NC_007181.1
SACI_RS06165	Saci_1290	Saci_1290	Sacid_01267		1096249.0	1096458.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3FLJ5	NC_007181.1
SACI_RS11650	nanM	Saci_1292	Sacid_01268		1096722.0	1098830.0	-	fibronectin type III domain-containing protein	N-acetylneuraminate epimerase	Energy production and conversion	UPI0002B270AC	NC_007181.1
SACI_RS06180	Saci_1293	Saci_1293	Sacid_01269		1099037.0	1099783.0	-	SDR family oxidoreductase	putative oxidoreductase	Lipid transport and metabolism	UPI0009B5A1B9	NC_007181.1
SACI_RS06185	ycfH_2	Saci_1294	Sacid_01270		1099786.0	1100475.0	-	TatD family hydrolase	putative metal-dependent hydrolase YcfH	"Replication, recombination and repair"	A0A0U2VTG1	NC_007181.1
SACI_RS06190	Saci_1295	Saci_1295	Sacid_01271		1100509.0	1100910.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3FMB2	NC_007181.1
SACI_RS06195	yxlF	Saci_1296	Sacid_01272		1101172.0	1101879.0	+	ABC transporter ATP-binding protein	putative ABC transporter ATP-binding protein YxlF	Defense mechanisms	A0A0U3H1B3	NC_007181.1
SACI_RS06200	SACI_RS06200		Sacid_01273		1101884.0	1103296.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3GLR7	NC_007181.1
SACI_RS06205	Saci_1298	Saci_1298	Sacid_01274		1103293.0	1103835.0	-	LOG family protein	hypothetical protein	Function unknown	A0A0U3H0S0	NC_007181.1
SACI_RS06220	rpiA	Saci_1301	Sacid_01277		1108924.0	1109586.0	-	ribose 5-phosphate isomerase A	Ribose-5-phosphate isomerase A	Carbohydrate transport and metabolism	A0A0U3H6E9	NC_007181.1
SACI_RS06225	Saci_1302	Saci_1302	Sacid_01278		1109624.0	1110925.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U2WYK0	NC_007181.1
SACI_RS06235	lysS	Saci_1304	Sacid_01280		1111101.0	1112507.0	-	homocitrate synthase	Homocitrate synthase	Amino acid transport and metabolism	UPI0000552583	NC_007181.1
SACI_RS06240	Saci_1305	Saci_1305	Sacid_01281		1112548.0	1112823.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U2Y6M2	NC_007181.1
SACI_RS06245	pyrH	Saci_1306	Sacid_01282		1112829.0	1113512.0	-	UMP kinase	Uridylate kinase	Nucleotide transport and metabolism	A0A0U2NCA1	NC_007181.1
SACI_RS06250	Saci_1307	Saci_1307	Sacid_01283		1113548.0	1113727.0	-	chromatin protein Cren7	hypothetical protein	"Replication, recombination and repair"	A0A0U3GWQ3	NC_007181.1
SACI_RS06255	fabG_5	Saci_1308	Sacid_01284		1113836.0	1114633.0	-	SDR family oxidoreductase	3-oxoacyl-[acyl-carrier-protein] reductase FabG	Lipid transport and metabolism	A0A0U3HI16	NC_007181.1
SACI_RS06260	Saci_1309	Saci_1309	Sacid_01285		1114630.0	1115706.0	-	pseudouridylate synthase	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3FJM7	NC_007181.1
SACI_RS06265	ffh	Saci_1310	Sacid_01286		1115675.0	1117009.0	-	signal recognition particle protein	Signal recognition particle protein	"Intracellular trafficking, secretion, and vesicular transport"	A0A0U3FBE9	NC_007181.1
SACI_RS06270	efp	Saci_1311	Sacid_01287		1117011.0	1117406.0	-	translation initiation factor IF-5A	Elongation factor P	"Translation, ribosomal structure and biogenesis"	A0A0U3HDI9	NC_007181.1
SACI_RS06275	TOP6A	Saci_1314	Sacid_01288		1117749.0	1118909.0	-	DNA topoisomerase IV subunit A	DNA topoisomerase 6 subunit A	"Replication, recombination and repair"	A0A0U3GP25	NC_007181.1
SACI_RS06280	TOP6B	Saci_1315	Sacid_01289		1118906.0	1120504.0	-	DNA topoisomerase VI subunit B	DNA topoisomerase 6 subunit B	"Replication, recombination and repair"	A0A0U3FLI6	NC_007181.1
SACI_RS06285	Saci_1316	Saci_1316	Sacid_01290		1120540.0	1121475.0	-	deoxyhypusine synthase	Deoxyhypusine synthase-like protein	Coenzyme transport and metabolism	A0A0U3H782	NC_007181.1
SACI_RS06290	rtcB	Saci_1317	Sacid_01291		1121472.0	1122920.0	-	RtcB family protein	RNA-splicing ligase RtcB	"Replication, recombination and repair"	A0A0U3GR90	NC_007181.1
SACI_RS06295	Saci_1319	Saci_1319	Sacid_01292		1123028.0	1123243.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U2NCN7	NC_007181.1
SACI_RS06300	rhlB	Saci_1320	Sacid_01293		1123338.0	1126142.0	+	DEAD/DEAH box helicase	ATP-dependent RNA helicase RhlB	"Replication, recombination and repair"	A0A0U3HIH2	NC_007181.1
SACI_RS06305	Saci_1321	Saci_1321	Sacid_01294		1126245.0	1126517.0	+	DNA-binding protein	hypothetical protein	Transcription	A0A0U3GSD1	NC_007181.1
SACI_RS06310	rgy_3		Sacid_01295	rgy	1126482.0	1129943.0	-	reverse gyrase	Reverse gyrase	"Replication, recombination and repair"	M1I560	NC_007181.1
SACI_RS06315	albA	Saci_1322	Sacid_01296		1130260.0	1130553.0	+	DNA-binding protein Alba	hypothetical protein	Transcription	A0A0U3FT74	NC_007181.1
SACI_RS06320	Saci_1323	Saci_1323	Sacid_01297		1130638.0	1130964.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3GLQ4	NC_007181.1
SACI_RS06325	Saci_1324	Saci_1324	Sacid_01298		1130939.0	1131214.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U2W286	NC_007181.1
SACI_RS06330	Saci_1325	Saci_1325	Sacid_01299		1131307.0	1131816.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3H6D3	NC_007181.1
SACI_RS06335	SACI_RS06335		Sacid_01300		1131771.0	1133401.0	-	DEAD/DEAH box helicase	hypothetical protein	No COG annotation		NC_007181.1
SACI_RS06340	Saci_1327	Saci_1327	Sacid_01301		1133361.0	1133738.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U2Y6K5	NC_007181.1
SACI_RS06345	cutA	Saci_1328	Sacid_01302		1133783.0	1134115.0	+	divalent-cation tolerance protein CutA	Divalent-cation tolerance protein CutA	Inorganic ion transport and metabolism	A0A0U3H8H6	NC_007181.1
SACI_RS06350	gatC	Saci_1329	Sacid_01303		1134099.0	1134392.0	+	Asp-tRNA(Asn) amidotransferase subunit GatC	Glutamyl-tRNA(Gln) amidotransferase subunit C	"Translation, ribosomal structure and biogenesis"	A0A0U3H8F3	NC_007181.1
SACI_RS06355	gatA_3	Saci_1330	Sacid_01304	gatA	1134394.0	1135824.0	+	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA	Glutamyl-tRNA(Gln) amidotransferase subunit A	"Translation, ribosomal structure and biogenesis"	A0A0U3FK17	NC_007181.1
SACI_RS06360	Saci_1331	Saci_1331	Sacid_01305		1135870.0	1136946.0	+	4-demethylwyosine synthase TYW1	hypothetical protein	Energy production and conversion	A0A0U3FJL4	NC_007181.1
SACI_RS06365	Saci_1332	Saci_1332	Sacid_01306		1136977.0	1137600.0	+	DUF120 domain-containing protein	hypothetical protein	Nucleotide transport and metabolism	UPI0011BE8E24	NC_007181.1
SACI_RS06370	hldE	Saci_1333	Sacid_01307		1137603.0	1138289.0	-	DUF357 domain-containing protein	Bifunctional protein HldE	Cell wall/membrane/envelope biogenesis	A0A0U3GP09	NC_007181.1
SACI_RS06375	Saci_1334	Saci_1334	Sacid_01308		1138274.0	1139029.0	-	diphthine synthase	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3FDF6	NC_007181.1
SACI_RS06380	Saci_1335	Saci_1335	Sacid_01309		1139076.0	1139840.0	+	metallophosphoesterase	hypothetical protein	Function unknown	A0A0U3GR75	NC_007181.1
SACI_RS06385	tbp	Saci_1336	Sacid_01310		1139910.0	1140488.0	+	TATA-box-binding protein	hypothetical protein	Transcription	UPI0009B59C4B	NC_007181.1
SACI_RS06390	Saci_1337	Saci_1337	Sacid_01311		1140518.0	1140745.0	+	DUF5622 domain-containing protein	hypothetical protein	No COG annotation	A0A0U3GJV3	NC_007181.1
SACI_RS06395	Saci_1338	Saci_1338	Sacid_01312		1140735.0	1141796.0	-	DUF373 family protein	hypothetical protein	Function unknown	A0A0U2W033	NC_007181.1
